Date,Description,Withdrawals,Deposits,Balance,Account Type
2020-01-03,Executive Cosmo PAY,0.0,1130.02,1817.98,Chequing
2020-01-03,CANADA GST,0.0,110.75,1928.73,Chequing
2020-01-03,JH170 TFR-TO C/C,100.0,0.0,1828.73,Chequing
2020-01-03,FAMOUS PLAYER #,14.99,0.0,1813.74,Chequing
2020-01-03,REMITLY* X8FF _V,651.38,0.0,1162.36,Chequing
2020-02-03,REMITLY* X5AA _V,272.03,0.0,967.67,Chequing
2020-02-03,TAGPUAN INC.,13.16,0.0,954.51,Chequing
2020-02-03,NICK & MIRA'S N,13.61,0.0,940.9,Chequing
2020-02-14,Executive Cosmo PAY,0.0,793.24,1016.34,Chequing
2020-03-02,REMITLY* X782 _V,302.61,0.0,962.82,Chequing
2020-03-02,PIZZAIOLO RESTA,6.5,0.0,506.32,Chequing
2020-03-13,Executive Cosmo PAY,0.0,878.44,688.26,Chequing
2020-03-27,Executive Cosmo PAY,0.0,276.75,508.05,Chequing
2020-04-03,CANADA GST,0.0,110.75,566.54,Chequing
2020-04-15,CANADA RIT,0.0,863.77,1243.59,Chequing
2020-04-27,CANADA EI,0.0,2000.0,2237.94,Chequing
2020-04-28,CANADA EI,0.0,1000.0,3236.94,Chequing
2020-05-12,CANADA EI,0.0,1000.0,3588.56,Chequing
2020-05-20,E-TRANSFER RECEIVED,0.0,1125.0,349.36,Chequing
2020-05-26,CANADA EI,0.0,1000.0,3921.76,Chequing
2020-06-09,CANADA EI,0.0,1000.0,4097.1,Chequing
2020-06-23,MOBILE DEPOSIT,0.0,2625.0,4381.37,Chequing
2020-06-23,TELUS MOBLTY,151.0,0.0,4381.37,Chequing
2020-07-03,CANADA GST,0.0,112.75,3678.39,Chequing
2020-07-07,CANADA EI,0.0,1000.0,4403.01,Chequing
2020-07-10,CANADA PRO,0.0,177.88,3889.33,Chequing
2020-08-05,CANADA EI,0.0,500.0,3936.22,Chequing
2020-08-18,CANADA EI,0.0,500.0,3278.6,Chequing
